account_id,customer_id,account_number,balance,credit_limit,opened_date,is_active
ACCT-00001,CUST-0001,4851203947,125340.50,50000.00,2019-03-14,True
ACCT-00002,CUST-0005,7293841056,,75000.00,2020-07-22,true
ACCT-00003,CUST-0012,3618509274,89200.33,30000.00,2018-11-08,FALSE
ACCT-00004,CUST-0003,5024716839,210450.00,,2021-05-30,True
ACCT-00005,CUST-0021,8467392150,45670.88,60000.00,2019-09-17,true
ACCT-00006,CUST-0034,1930284756,178900.45,45000.00,2020-02-28,False
ACCT-00007,CUST-0008,,67340.22,25000.00,2022-07-04,TRUE
ACCT-00008,CUST-0045,6285091734,15890.00,80000.00,2018-12-15,true
ACCT-00009,CUST-0017,9741623508,98760.67,35000.00,2021-01-25,False
ACCT-00010,CUST-0056,2058347169,243100.33,,2019-06-11,TRUE
ACCT-00011,CUST-0029,4392175860,52480.90,55000.00,2020-10-03,true
ACCT-00012,CUST-0063,8174026593,136700.45,40000.00,2022-04-19,False
ACCT-00013,CUST-0042,5637289041,78950.00,70000.00,2018-08-27,TRUE
ACCT-00014,CUST-0010,3081456927,,20000.00,2021-12-09,true
ACCT-00015,CUST-0074,7519863240,192300.88,50000.00,2019-04-16,False
ACCT-00016,CUST-0026,6843027195,41200.33,65000.00,2020-01-08,TRUE
ACCT-00017,CUST-0051,1296584073,287600.50,30000.00,2022-09-22,true
ACCT-00018,CUST-0037,9567410328,63450.00,45000.00,2018-05-13,False
ACCT-00019,CUST-0068,2710893546,104800.75,85000.00,2021-08-07,TRUE
ACCT-00020,CUST-0014,8053269471,29670.22,,2019-11-30,true
ACCT-00021,CUST-0059,4186735092,156200.00,55000.00,2020-06-25,False
ACCT-00022,CUST-0002,6429058317,87340.88,40000.00,2022-02-14,TRUE
ACCT-00023,CUST-0047,3875602941,,75000.00,2018-10-01,true
ACCT-00024,CUST-0031,5208149736,221500.45,35000.00,2021-03-18,False
ACCT-00025,CUST-0072,9643280157,54890.33,60000.00,2019-07-09,TRUE
ACCT-00026,CUST-0019,1327964580,143600.67,50000.00,2020-12-22,true
ACCT-00027,CUST-0055,7860413259,36780.00,25000.00,2022-06-05,False
ACCT-00028,CUST-0040,2594037816,198400.90,,2018-03-28,TRUE
ACCT-00029,CUST-0023,4031786925,71250.45,70000.00,2021-10-14,true
ACCT-00030,CUST-0066,,116900.33,45000.00,2019-02-06,False
ACCT-00031,CUST-0009,8278543601,48320.00,80000.00,2020-08-19,TRUE
ACCT-00032,CUST-0052,5712690348,269800.88,30000.00,2022-01-11,true
ACCT-00033,CUST-0035,3149827056,82100.22,55000.00,2018-09-24,False
ACCT-00034,CUST-0070,6503481927,17450.67,65000.00,2021-05-02,TRUE
